16.2	96.8	76
16.2	96.5	75
16.1	96.7	78
15.9	96.5	79
16.1	96.6	79
16.4	96.1	80
16.2	96.5	80
16.2	96.9	81
16.2	96.9	84
16.8	94.7	85
16.3	95.3	90
16.3	95.9	91
16.4	95.2	90
22.7	73	157
23.1	72	158
23.4	69.3	154
23.8	69	156
24.4	71.3	156
25.2	76	159
26.2	75.5	159
26.6	66.8	158
27.4	67.5	159
28	66.2	160
28.9	70.6	160
29.3	62.3	158
29.7	62.4	159
30.4	70.4	159
31	65.6	159
31.1	61.1	150
29.9	59.4	157
29.1	62.5	159
29.7	60.3	159
29.3	58.8	154
29	61.8	159
29.6	62.1	157
30	59.3	158
29.8	59.5	157
28.8	61.8	156
23.5	76.4	150
23.2	76.4	151
23	76.9	149
22.9	78.5	152
22.7	80.2	151
22.8	82	152
23	80.9	156
23	79.6	158
23.1	80.2	162
23.3	79.1	162
22.7	82.4	152
22.8	83.1	152
22.7	82.1	149
22.6	83.9	150
22.5	84.2	137
22.3	85.1	147
22.1	84.9	147
22	85.5	148
21.9	86.5	147
21.9	86.7	149
21.8	86.5	148
21.7	87.5	149
21.6	87.2	149
21.7	88.9	149
21.7	88.4	137
21.8	88	150
21.7	87	150
21.8	87.5	150
21.9	88	149
22	87.6	150
22.1	88.1	150
22	88	149
22.1	87.9	149
22	88.2	148
21.7	88.9	149
21.6	89	149
21.3	90.1	149
21.1	90.3	137
21.1	90.6	148
21.2	89.8	148
21.3	90.2	148
21	91.5	150
21	91.7	149
21	91.6	149
21	91.4	147
20.9	92	149
20.9	91.8	148
20.8	91.8	147
20.6	92.6	145
20.5	93	145
20.4	93.1	145
20.2	93.7	145
20	94.3	147
20	93.7	147
20	94.8	146
19.9	94.9	145
19.9	95	147
19.9	95.2	147
20	95	147
19.9	95.2	146
19.7	95.5	144
19.6	95.8	144
19.6	95.9	144
19.5	96.4	146
19.6	96.2	146
19.6	96.1	145
19.6	95.9	147
19.6	96.4	146
19.5	96.6	147
19.5	96.3	146
19.6	96	145
19.5	95.8	144
19.4	95.8	135
19.5	95.8	142
19.5	95.4	146
19.6	95.3	144
19.6	95.1	145
19.6	95.1	147
19.7	95	149
19.9	94.8	150
20	94.7	152
20	94.7	153
20	94.2	151
20	94	144
20.1	93.8	151
20.2	93.8	151
20.4	93.4	151
23.5	77.8	243
23.9	75.1	223
23	79	34
23	72	34
23.2	72.1	40
26.7	76.5	189
26.9	78.9	186
23.5	77.8	243
23.9	75.1	223
23	79	34
23	72	34
23.2	72.1	40
26.7	76.5	189
26.9	78.9	186
22	70.2	87
22.1	72.9	34
22.3	70.8	36
20.8	75.3	90
20.6	73.1	91
20.5	73.7	90
22.5	81	103
25.8	72.2	102
25.8	72.2	99
22.5	71.3	34
26.5	80	209
26.1	79	219
24.6	77.2	200
26.1	75.8	207
18.5	90.1	85
18.4	89.3	76
18.6	88.4	78
18.6	88.4	78
18.5	88.2	78
18.4	89.6	77
18.4	89.2	78
18.3	89.4	79
18.5	89.9	82
18.7	89.4	82
18.9	88.1	91
19	87.1	81
18.8	85.3	79
18.9	87.6	79
19.7	83.7	86
20	85	89
20.3	83.6	87
20.4	83.3	92
20.5	82	87
20.5	82.1	86
20.4	80.4	94
20.6	80.2	92
20.7	81.1	92
36.5	43.3	98
35.1	40.7	96
37.9	39.2	96
37.9	39.2	93
36.5	40.2	90
40.2	40.2	89
40.2	40.2	88
31.4	48.1	90
29.7	49.7	90
29.7	49.7	88
30.3	46.9	87
30.3	48.7	86
30.3	46.9	86
30.86	46.9	86
32.4	44.9	85
33.3	45.8	85
35	39.8	81
35.6	40.6	84
35.6	40.6	81
29	52.6	76
30.1	51.1	77
31.1	47.7	77
31.1	46.2	76
30.8	44.6	76
28.8	49.2	76
28.4	77.6	205
28.7	76.7	201
28.6	76.3	190
28.4	76.7	197
28.3	75.3	196
28.5	75.4	193
29.1	75.6	192
29.3	73	183
29.3	74.2	189
29.9	74.3	187
29.9	70.5	188
30.7	74.7	189
29.3	49.5	72
29.1	49.2	72
28.6	54.1	72
28.9	77.8	202
29.2	78.1	187
28.2	78.7	180
29.2	74.8	180
30	76.8	178
30.4	73.4	171
30.6	72.8	176
30.8	74.2	176
31.2	73.3	175
32.2	74.4	176
34.4	72.6	171
35.6	60.9	171
34.4	61.1	169
33.3	63.8	169
32.3	64.3	166
31.4	65.4	166
30.6	66.8	164
29.9	68.4	164
29.3	68.5	162
28.9	70.1	163
28.6	70.5	162
28.5	72.7	162
28.4	70.7	162
28.3	72.4	154
28.4	73.1	161
28.5	70.5	158
28.4	73.1	161
24.1	59	73
24.1	57.3	70
25.3	53.2	69
26	53.6	69
26.7	52.1	70
26.4	55.6	70
25.9	56.5	70
22.4	92	178
22.6	91.5	178
22.7	90.8	169
22.8	91.2	175
23.1	91.6	174
23.3	91	173
23.6	91.3	174
23.9	90.7	171
24	90.2	173
24	90	172
23.9	89.5	171
23.9	89.9	171
23.9	88.9	171
23.4	80.6	190
22.7	82.7	183
22.3	82.9	182
22	84.3	176
21.6	85.6	173
21.5	87.3	173
21.3	88.6	162
21.3	88.3	170
21.3	88.7	168
21.2	88	168
21.1	89.4	168
21	90	158
21.1	90.6	168
21.3	89	158
21.1	89.5	163
21.2	89.3	163
21.3	89.8	157
21.4	89.8	162
21.4	87.2	159
21.3	85.3	158
21.3	85.4	156
21.1	84.9	154
20.9	85.9	154
20.9	87.3	154
20.7	86.8	156
20.8	87.7	154
20.8	87.1	152
20.7	87.1	154
20.8	85.8	154
20.9	86.1	153
21	85.9	154
21	84.8	154
21	86.7	153
20.8	84.3	151
20.6	86.3	148
20.4	87.8	151
20.5	90.2	147
